542,87,100180
56714,226/17-A-9,53450,4100.00,0.00,05/06/2018,16:09:54,20004,Y
53223,166/2017-A-20,30195,4300.00,0.00,05/06/2018,16:10:33,20005,Y
57645,02/2018-A-13,26680,600.00,0.00,05/06/2018,16:10:53,20006,Y
44895,15/2016-A-17,15556,1000.00,0.00,05/06/2018,16:14:16,20007,Y
52514,152/2017-A-9,11223,500.00,0.00,05/06/2018,16:18:24,20008,Y
49569,46/2017-A-11,22301,600.00,0.00,05/06/2018,16:20:33,20009,Y
59598,46/2018-A-3,56515,500.00,0.00,05/06/2018,16:24:45,20010,Y
55693,255/2017-A-3,52305,200.00,0.00,05/06/2018,16:32:04,20011,Y
49273,38/2017-A-12,9297,500.00,0.00,05/06/2018,16:37:35,20012,Y
60669,72/18-A-9,9297,500.00,0.00,05/06/2018,16:37:58,20013,Y
46890,165/2016-A-17,21540,500.00,0.00,05/06/2018,16:39:32,20014,Y
54832,177/17-A-6,18437,300.00,0.00,05/06/2018,16:40:55,20015,Y
50805,120/2017-A-8,11539,300.00,0.00,05/06/2018,16:42:52,20016,Y
54609,228/2017-A-13,25723,900.00,0.00,05/06/2018,16:43:52,20017,Y
54349,221/2017-B-4,51043,200.00,0.00,05/06/2018,16:45:25,20018,Y
50968,156/2017-A-6,13936,200.00,0.00,05/06/2018,16:48:10,20019,Y
51170,126/2017-A-9,11457,300.00,0.00,05/06/2018,16:48:43,20020,Y
53706,208/2017-B-19,50646,200.00,0.00,05/06/2018,16:49:11,20021,Y
44169,122/2016-B-6,15996,500.00,0.00,05/06/2018,16:56:12,20022,Y
48202,11/2017-A-2,15996,300.00,0.00,05/06/2018,16:57:19,20023,Y
57286,08/18-A-7,54037,500.00,0.00,05/06/2018,16:58:04,20024,Y
